carrington_rotation,longitude_index,carrington_longitude_degree,latitude_index,sine_latitude,latitude_degree,field_microtesla
2149,5,30,22,0.5,29.999999999999996,-18.353999999999999
2149,5,30,23,0.56666666666666665,34.518107841061259,-21.163
2149,5,30,24,0.6333333333333333,39.296480239187503,-15.489000000000001
2149,5,30,25,0.69999999999999996,44.427004000805702,-10.932
2149,5,30,26,0.76666666666666672,50.055494810185124,-3.754
2149,5,30,27,0.83333333333333337,56.442690238079287,3.9100000000000001
2149,5,30,28,0.90000000000000002,64.158067236832878,12.436
2149,5,30,29,0.96666666666666667,75.164888418024262,21.454000000000001
2149,6,35,0,-0.96666666666666667,-75.164888418024262,-26.882999999999999
2149,6,35,1,-0.90000000000000002,-64.158067236832878,-26.963999999999999
2149,6,35,2,-0.83333333333333337,-56.442690238079287,-24.106000000000002
2149,6,35,3,-0.76666666666666672,-50.055494810185124,-29.937000000000001
2149,6,35,4,-0.69999999999999996,-44.427004000805702,-48.021999999999998
2149,6,35,5,-0.6333333333333333,-39.296480239187503,-58.817999999999998
2149,6,35,6,-0.56666666666666665,-34.518107841061259,-55.188000000000002
2149,6,35,7,-0.5,-29.999999999999996,-60.384999999999998
2149,6,35,8,-0.43333333333333335,-25.679288619456855,-30.225999999999999
2149,6,35,9,-0.36666666666666664,-21.510188266887482,180.85499999999999
2149,6,35,10,-0.29999999999999999,-17.457603123722091,668.30999999999995
2149,6,35,11,-0.23333333333333334,-13.49339882155169,816.37800000000004
2149,6,35,12,-0.16666666666666666,-9.5940682268604611,555.97299999999996
2149,6,35,13,-0.10000000000000001,-5.7391704772667866,423.97399999999999
2149,6,35,14,-0.033333333333333333,-1.9102131717099304,353.52300000000002
2149,6,35,15,0.033333333333333333,1.9102131717099304,99.733999999999995
2149,6,35,16,0.10000000000000001,5.7391704772667866,-78.781999999999996
2149,6,35,17,0.16666666666666666,9.5940682268604611,-97.766000000000005
2149,6,35,18,0.23333333333333334,13.49339882155169,-58.338999999999999
2149,6,35,19,0.29999999999999999,17.457603123722091,-63.423999999999999
2149,6,35,20,0.36666666666666664,21.510188266887482,-72.512
2149,6,35,21,0.43333333333333335,25.679288619456855,-80.325000000000003
2149,6,35,22,0.5,29.999999999999996,-89.460999999999999
2149,6,35,23,0.56666666666666665,34.518107841061259,-84.587000000000003
2149,6,35,24,0.6333333333333333,39.296480239187503,-52.345999999999997
2149,6,35,25,0.69999999999999996,44.427004000805702,-32.369
2149,6,35,26,0.76666666666666672,50.055494810185124,-18.350999999999999
2149,6,35,27,0.83333333333333337,56.442690238079287,-2.738
2149,6,35,28,0.90000000000000002,64.158067236832878,13.388999999999999
2149,6,35,29,0.96666666666666667,75.164888418024262,29.146000000000001
2149,7,40,0,-0.96666666666666667,-75.164888418024262,-16.619
2149,7,40,1,-0.90000000000000002,-64.158067236832878,-14.323
2149,7,40,2,-0.83333333333333337,-56.442690238079287,-17.376000000000001
2149,7,40,3,-0.76666666666666672,-50.055494810185124,-31.390999999999998
2149,7,40,4,-0.69999999999999996,-44.427004000805702,-67.477000000000004
2149,7,40,5,-0.6333333333333333,-39.296480239187503,-97.768000000000001
2149,7,40,6,-0.56666666666666665,-34.518107841061259,-97.995999999999995
2149,7,40,7,-0.5,-29.999999999999996,-105.633
2149,7,40,8,-0.43333333333333335,-25.679288619456855,-77.316000000000003
2149,7,40,9,-0.36666666666666664,-21.510188266887482,-80.143000000000001
2149,7,40,10,-0.29999999999999999,-17.457603123722091,-127.146
2149,7,40,11,-0.23333333333333334,-13.49339882155169,-84.712999999999994
2149,7,40,12,-0.16666666666666666,-9.5940682268604611,102.83499999999999
2149,7,40,13,-0.10000000000000001,-5.7391704772667866,283.16800000000001
2149,7,40,14,-0.033333333333333333,-1.9102131717099304,238.71299999999999
2149,7,40,15,0.033333333333333333,1.9102131717099304,15.164999999999999
2149,7,40,16,0.10000000000000001,5.7391704772667866,-143.45599999999999
2149,7,40,17,0.16666666666666666,9.5940682268604611,-141.47
2149,7,40,18,0.23333333333333334,13.49339882155169,-21.756
2149,7,40,19,0.29999999999999999,17.457603123722091,33.064
2149,7,40,20,0.36666666666666664,21.510188266887482,-3.238
2149,7,40,21,0.43333333333333335,25.679288619456855,-92.292000000000002
2149,7,40,22,0.5,29.999999999999996,-134.851
2149,7,40,23,0.56666666666666665,34.518107841061259,-121.066
2149,7,40,24,0.6333333333333333,39.296480239187503,-64.802999999999997
2149,7,40,25,0.69999999999999996,44.427004000805702,-27.927
2149,7,40,26,0.76666666666666672,50.055494810185124,-12.839
2149,7,40,27,0.83333333333333337,56.442690238079287,-2.4729999999999999
2149,7,40,28,0.90000000000000002,64.158067236832878,10.154
2149,7,40,29,0.96666666666666667,75.164888418024262,21.241
2149,8,45,0,-0.96666666666666667,-75.164888418024262,-19.600000000000001
2149,8,45,1,-0.90000000000000002,-64.158067236832878,-13.416
2149,8,45,2,-0.83333333333333337,-56.442690238079287,-4.9000000000000004
2149,8,45,3,-0.76666666666666672,-50.055494810185124,-28.439
2149,8,45,4,-0.69999999999999996,-44.427004000805702,-97.352000000000004
2149,8,45,5,-0.6333333333333333,-39.296480239187503,-145.929
2149,8,45,6,-0.56666666666666665,-34.518107841061259,-125.315
2149,8,45,7,-0.5,-29.999999999999996,-78.793000000000006
2149,8,45,8,-0.43333333333333335,-25.679288619456855,-20.044
2149,8,45,9,-0.36666666666666664,-21.510188266887482,-32.219999999999999
2149,8,45,10,-0.29999999999999999,-17.457603123722091,-282.15100000000001
2149,8,45,11,-0.23333333333333334,-13.49339882155169,-335.05399999999997
2149,8,45,12,-0.16666666666666666,-9.5940682268604611,-38.072000000000003
2149,8,45,13,-0.10000000000000001,-5.7391704772667866,91.048000000000002
2149,8,45,14,-0.033333333333333333,-1.9102131717099304,49.212000000000003
2149,8,45,15,0.033333333333333333,1.9102131717099304,2.4990000000000001
2149,8,45,16,0.10000000000000001,5.7391704772667866,-24.210999999999999
2149,8,45,17,0.16666666666666666,9.5940682268604611,-21.332999999999998
2149,8,45,18,0.23333333333333334,13.49339882155169,78.582999999999998
2149,8,45,19,0.29999999999999999,17.457603123722091,127.08
2149,8,45,20,0.36666666666666664,21.510188266887482,68.585999999999999
2149,8,45,21,0.43333333333333335,25.679288619456855,-82.668999999999997
2149,8,45,22,0.5,29.999999999999996,-150.90100000000001
2149,8,45,23,0.56666666666666665,34.518107841061259,-128.624
2149,8,45,24,0.6333333333333333,39.296480239187503,-56.813000000000002
2149,8,45,25,0.69999999999999996,44.427004000805702,-17.236000000000001
2149,8,45,26,0.76666666666666672,50.055494810185124,-2.9590000000000001
2149,8,45,27,0.83333333333333337,56.442690238079287,0.42699999999999999
2149,8,45,28,0.90000000000000002,64.158067236832878,4.0960000000000001
2149,8,45,29,0.96666666666666667,75.164888418024262,6.9560000000000004
2149,9,50,0,-0.96666666666666667,-75.164888418024262,-17.361999999999998
2149,9,50,1,-0.90000000000000002,-64.158067236832878,-7.4260000000000002
2149,9,50,2,-0.83333333333333337,-56.442690238079287,12.273
2149,9,50,3,-0.76666666666666672,-50.055494810185124,-13.101000000000001
2149,9,50,4,-0.69999999999999996,-44.427004000805702,-126.202
2149,9,50,5,-0.6333333333333333,-39.296480239187503,-205.649
2149,9,50,6,-0.56666666666666665,-34.518107841061259,-159.24000000000001
2149,9,50,7,-0.5,-29.999999999999996,-2.0350000000000001
2149,9,50,8,-0.43333333333333335,-25.679288619456855,142.28299999999999
2149,9,50,9,-0.36666666666666664,-21.510188266887482,450.75099999999998
2149,9,50,10,-0.29999999999999999,-17.457603123722091,1043.251
2149,9,50,11,-0.23333333333333334,-13.49339882155169,1152.7539999999999
2149,9,50,12,-0.16666666666666666,-9.5940682268604611,573.12800000000004
2149,9,50,13,-0.10000000000000001,-5.7391704772667866,110.794
2149,9,50,14,-0.033333333333333333,-1.9102131717099304,16.712
2149,9,50,15,0.033333333333333333,1.9102131717099304,23.463000000000001
2149,9,50,16,0.10000000000000001,5.7391704772667866,16.145
2149,9,50,17,0.16666666666666666,9.5940682268604611,15.537000000000001
2149,9,50,18,0.23333333333333334,13.49339882155169,65.444000000000003
2149,9,50,19,0.29999999999999999,17.457603123722091,62.058
2149,9,50,20,0.36666666666666664,21.510188266887482,20.276
2149,9,50,21,0.43333333333333335,25.679288619456855,-92.674000000000007
2149,9,50,22,0.5,29.999999999999996,-137.87899999999999
2149,9,50,23,0.56666666666666665,34.518107841061259,-108.179
2149,9,50,24,0.6333333333333333,39.296480239187503,-22.582000000000001
2149,9,50,25,0.69999999999999996,44.427004000805702,19.539000000000001
2149,9,50,26,0.76666666666666672,50.055494810185124,18.706
2149,9,50,27,0.83333333333333337,56.442690238079287,1.0649999999999999
2149,9,50,28,0.90000000000000002,64.158067236832878,-3.8679999999999999
